scoring,cv_cycle,ECFP2,ECFP4,ECFP6,FCFP2,FCFP4,FCFP6,MACCS,RDK5,RDK6,RDK7,avalon,mordred,pubchem,rdkdes
neg_mean_absolute_error,23,-0.3179715151561383,-0.2945116861888581,-0.2059379537790835,-0.28046696476358735,-0.22742601973075174,-0.2125994085942755,-0.2849791861018891,-0.20331182205226808,-0.1711572589484084,-0.20350667973441264,-0.24243432490724628,-0.14260352968595189,-0.2934265713082397,-0.16377254454981974
neg_mean_absolute_error,24,-0.32489535976574396,-0.2916126076522542,-0.2867050587948803,-0.2680823586229995,-0.21112374579115664,-0.24320481826317317,-0.31945516922494954,-0.2157209980320353,-0.21074710469297273,-0.16585928135803418,-0.24280708807954338,-0.1693647603586896,-0.22267260836873407,-0.18865996826051576
neg_mean_absolute_error,25,-0.3732199074183526,-0.2849048533757257,-0.2552715307428706,-0.25072077209294924,-0.26121499623893507,-0.23482297603895277,-0.3203228817290569,-0.2559418142608819,-0.2562554061120027,-0.24777918388084805,-0.23951248166211148,-0.14774460928411806,-0.22745465726612277,-0.16966905976564367
neg_mean_absolute_error,mean,-0.33976492088311794,-0.3016472881323333,-0.2546897696911252,-0.28973770446338787,-0.23104683088481504,-0.24483809831087566,-0.2999566699585738,-0.23284527066449914,-0.21381605096414058,-0.20112735972883589,-0.22018428912329707,-0.18586554631890628,-0.24972061512129184,-0.19461552030701437
neg_mean_absolute_error,median,-0.3369809003110878,-0.2980522941476142,-0.25499548881261264,-0.28220516436649273,-0.23166852037053576,-0.23482297603895277,-0.2967282302224489,-0.22856828819846498,-0.21074710469297273,-0.20226095446140813,-0.22144917222185204,-0.1699640983003318,-0.24602612925037531,-0.18865996826051576
neg_mean_absolute_error,std,0.041363114021861914,0.03293191933546977,0.029297664346068533,0.03635059721086649,0.02724342723104733,0.045205304031805886,0.02983872646012027,0.03186319019936037,0.03239835067246094,0.026615144836129145,0.0317843860091457,0.03762362286893126,0.032847933060220214,0.03151366281068776
neg_mean_absolute_percentage_error,1,-1.2826831984483928,-1.1862717095526942,-2.5024525188592412,-0.9682221535415542,-0.8150206530934504,-0.6599814463551219,-0.7514864262095912,-0.8352249879448134,-0.5817079478085498,-0.979953523772487,-0.6383747290831465,-0.5242804717037853,-0.7754818910562465,-0.690829895746607
neg_mean_absolute_percentage_error,2,-1.0534206557321555,-0.9476637285704572,-0.7375590560954115,-1.615208643580671,-0.5493757528493279,-1.0027163288471765,-0.9000075666055628,-5.61973234005574,-0.9149562469415071,-0.2809463089951693,-7.04777578867226,-0.9548108713185919,-4.04768473822883,-0.8854558135682009
neg_mean_absolute_percentage_error,3,-2.4622283522562265,-0.7642859547932945,-1.058475799723971,-0.946552737377227,-1.3546263815484023,-0.5581332116122661,-3.917286113660471,-1.476420669025791,-0.5051521474478208,-2.8370011574281846,-0.8499503495209574,-0.9307936493323057,-0.7708629786317742,-2.768997388827494
neg_mean_absolute_percentage_error,4,-1.6629972044180943,-0.953759118432107,-1.408546228772923,-1.0316661039257737,-2.113417238553242,-2.739930982228692,-0.6803165692240872,-0.6236127743501468,-0.8241892063082268,-0.5958794207446396,-0.86803171226164,-0.8302376777047435,-0.7215408558869407,-0.4543773745870747
neg_mean_absolute_percentage_error,5,-0.6948539546269149,-1.5295881637911029,-0.6654965377321431,-0.6527238327991838,-0.6425197056268019,-0.8137943500079182,-1.0278160184051366,-0.5745804089274394,-4.2756426163908285,-1.10453708482049,-1.2288013499578834,-0.3743803294052181,-0.5251584109049413,-0.39764130624904853
neg_mean_absolute_percentage_error,6,-1.2317508297475295,-1.2015977609966608,-0.7875818687024686,-0.6572838115599714,-0.7887852920252725,-1.2141910221444727,-0.8415905761562922,-1.9189276682184646,-2.4740453165021266,-2.207035772691817,-0.8258427945818082,-0.6290029884797917,-0.6077681012675895,-2.2026209397166645
neg_mean_absolute_percentage_error,7,-1.22330600528981,-1.5269903534521998,-0.7782993789061363,-1.8454841702389715,-0.6257642463020501,-0.6360110325592768,-0.9967653748447614,-0.6667076064239577,-0.7386051137026118,-0.6344397437610421,-0.6914455263147369,-0.8768299876862744,-0.6584656554688463,-0.5760046752749186
neg_mean_absolute_percentage_error,8,-5.936607700955125,-1.6644039734729494,-0.7037415949212863,-1.3251994021686453,-2.3889700046878812,-0.6193138704564725,-4.21476350113754,-0.8924255410142719,-2.233122678924859,-0.5353526738353448,-10.326960485860774,-0.7986042793807896,-4.137290749488277,-0.504593508818066
neg_mean_absolute_percentage_error,9,-0.8875465948216339,-0.9054882665334679,-0.894856570657973,-0.6230709194752647,-0.692971791993176,-0.5667921482043836,-0.7545540519243743,-2.407214618745136,-0.7364046820069345,-1.3720429340892784,-0.6163764071276019,-0.5344217126961642,-1.5023923368461345,-0.5540349546216528
neg_mean_absolute_percentage_error,10,-1.2803624905629547,-0.6312366604575212,-2.7439129884600897,-1.2408183753036466,-1.165121395986325,-2.509670540451577,-1.0583477228968092,-0.741534577585228,-0.70744738634284,-0.7968673072965875,-0.992379183283488,-1.0043543028083555,-0.5596930736592488,-1.0439765795804723
neg_mean_absolute_percentage_error,11,-1.5922889320846785,-0.8089630266295798,-1.5269405735007577,-1.0054373864854562,-2.856398483751823,-0.848446489113869,-0.8751792336104184,-1.0322272827888672,-0.6812803914644343,-1.1204757027188277,-1.1902952080658307,-0.5983618097725825,-0.715132386512959,-2.5592429868043625
neg_mean_absolute_percentage_error,12,-1.230640157790965,-1.7679620018891644,-0.9920479912502291,-1.2502811705596735,-0.5906814265991396,-2.1253149080944844,-0.7632297401936545,-1.3931604235161725,-2.8803794311000654,-3.899411459056553,-0.7121613003147145,-0.5173921886895484,-0.6416192217577426,-0.6342036497998148
neg_mean_absolute_percentage_error,13,-2.581973959513654,-1.501230478311975,-1.485152611678488,-1.261133339078539,-0.5636739768517235,-0.4494313976550482,-4.3669759493226605,-0.5753059096457875,-1.1774729910237032,-0.6008255377262051,-6.097193716437906,-1.07641575074772,-0.8699321794887479,-1.0538913403763386
neg_mean_absolute_percentage_error,14,-0.6105096809909871,-0.5974579925235561,-0.9046790606145875,-1.0207967356256789,-1.0951376205312269,-0.6466163459370284,-0.9736876766377773,-1.4491237180212195,-0.6697274747317159,-0.629220312717831,-0.712492980712181,-0.443621559760567,-5.812932219328537,-0.6862807562490604
neg_mean_absolute_percentage_error,15,-0.8838508237761881,-1.1188100755160304,-0.6417183665615863,-0.8003430617014906,-0.5805020113990232,-1.1569727863970438,-0.6451102698542159,-2.177608095264718,-0.5600127958478657,-0.5243656399100136,-1.4350211662385666,-0.8407657501216659,-0.8034477846577224,-0.695693510376208
neg_mean_absolute_percentage_error,16,-0.8801425206629936,-0.8550998732898575,-0.9763039931579989,-0.7712609095557436,-0.8201558767877872,-1.7742310857887251,-3.841866278253993,-1.833192924911767,-0.5958736241942069,-2.8288576946508828,-0.6936398645895194,-0.5233019283274714,-0.5624496651673523,-0.6828000393789597
neg_mean_absolute_percentage_error,17,-5.864257661848977,-0.6133942460562509,-0.8498503150645234,-0.9193808216481574,-3.431629388195458,-0.6815730793773465,-1.188729481564798,-0.5787833711453954,-0.7617569816133811,-0.6200460595781099,-8.047362065311416,-0.419802424391065,-0.7026317771643077,-0.7168486270591125
neg_mean_absolute_percentage_error,18,-1.5992269100255676,-1.1420651809526798,-1.1513713089993154,-1.379243604712958,-0.7077216030969934,-0.9075882895221337,-0.5649641341254912,-0.9759276214544829,-0.8721175721242983,-0.7998184203828467,-0.7424005497005762,-0.9984053308974381,-5.046182004967422,-0.5119837053263421
neg_mean_absolute_percentage_error,19,-1.2606551041226512,-1.3101641347808046,-2.504452474216011,-1.3887567874378994,-0.5854355712834439,-0.8606216304054268,-0.9928270451161498,-0.7583936242880813,-2.1932458912163737,-0.6948856005123861,-0.5544364716515966,-0.6701511886317816,-0.606532739409011,-2.2228239112768695
neg_mean_absolute_percentage_error,20,-0.968849619421933,-1.9686813895623994,-0.7984308342365461,-0.7207531756502736,-0.8447360033913154,-0.5861944445073081,-0.7170707469603311,-3.267295291672988,-1.1729963758184472,-0.5515238988314395,-1.0480818347693708,-1.3191480779912022,-1.3216617755387785,-0.4389591483451892
neg_mean_absolute_percentage_error,21,-1.7689636257837915,-2.5726068580491095,-0.6548491592713833,-1.15157508698127,-0.5386297984366106,-0.8363261840204632,-1.0118461986748117,-1.564453391528362,-3.287789518024706,-3.35757842738647,-1.4310347174662763,-1.1815429383695761,-1.5119995540687425,-0.8850777301763795
neg_mean_absolute_percentage_error,22,-0.8132443921723796,-0.8260650787392967,-1.43534506447242,-1.7842374121388875,-0.5841780277408114,-0.6485307502157062,-0.6632615358718912,-0.5178737633986895,-2.5046700418638204,-0.4745886813964465,-0.5428115960637492,-0.6338115326839685,-0.9657816184197334,-0.5634127408074842
