scoring,cv_cycle,AdaBoostRegressor,CatBoostRegressor,CatBoostRegressor_opt,DummyRegressor,ElasticNetCV,ExtraTreesRegressor,GradientBoostingRegressor,KNeighborsRegressor,LinearRegression,MLPRegressor,RandomForestRegressor,Ridge,SVR,XGBRegressor
neg_mean_absolute_percentage_error,8,-0.8380858824005117,-0.9052674024704777,-1.0648055990938377,-1.1840331004881115,-1.6223277696678235,-0.975308308672496,-1.7878782144264624,-2.2148945728964784,-1.8136204712432058,-1.0943003972157128,-1.4337419509682285,-1.0671975234661968,-0.776448303212833,-0.9843115714761866
neg_mean_absolute_percentage_error,9,-0.98918498942121,-0.430485096103204,-0.48803679422569995,-1.010946323950773,-0.71911634185986,-0.4376649337433768,-0.46318499990505885,-0.5478270816313846,-0.7400135010722138,-0.48645792065940185,-0.5018137808797344,-0.720892190021296,-0.44751413157893805,-0.4550333861425464
neg_mean_absolute_percentage_error,10,-1.6425479708551742,-0.608062610603035,-0.7704911058132349,-1.0175857360825873,-3.0359597677759798,-0.8111859771210278,-0.7339412841134488,-1.8508333369883605,-2.7424674405751337,-1.2627164075496686,-0.8080978813547405,-2.9447996685984332,-1.6469445370784557,-0.6231897228303646
neg_mean_absolute_percentage_error,11,-0.7124247487485694,-0.46393712743429094,-0.5192982357186462,-1.0547619739058567,-0.9704470573178192,-0.466637232657545,-0.5570921543084926,-0.7315147086916115,-1.0222141941079277,-0.6234710091938794,-0.597587184013877,-0.9181892003895313,-0.548219476979711,-0.5323485187439996
neg_mean_absolute_percentage_error,12,-0.8843643463116596,-0.41097541705897533,-0.460947065411483,-1.0175395825790485,-0.9420487159105843,-0.39319648627504084,-0.5381815004037734,-0.7292064066119865,-1.0302345321263486,-0.7068427555546891,-0.5240323554922384,-0.9429428211450772,-0.5351706772451122,-0.45466129371362907
neg_mean_absolute_percentage_error,13,-0.9179224211939917,-0.6430582390810731,-1.1653117266707451,-1.6508663066839127,-5.034757274814978,-1.6914619413346432,-2.601657093577648,-3.1663073755590947,-6.030871676817629,-1.5453045718675626,-0.9010576094180772,-4.78525318470065,-1.1520261039727369,-1.0373590086560542
neg_mean_absolute_percentage_error,14,-0.8013236141504868,-0.3382805917307099,-0.4009755879422961,-1.0000413832486679,-0.9051752878031046,-0.40090262838199503,-0.36450055022367595,-0.7873174221060152,-0.8544548859307893,-0.5833696792749803,-0.44959021193312976,-0.901031266837876,-0.5048745578727701,-0.3995645537515211
neg_mean_absolute_percentage_error,15,-2.256643084383771,-0.5351705317852307,-0.8138891574530553,-1.0444709141616069,-1.9801494155652812,-0.5688645957158173,-0.5299889619948345,-1.1480689170722729,-2.137079499881186,-0.8445599448821016,-0.7195792943573472,-1.9459110929167374,-0.6957910563838259,-0.6240510327577908
neg_mean_absolute_percentage_error,16,-0.7392655840145916,-0.3053154591749078,-0.37601415157668555,-1.0017729414442,-1.0500525334582491,-0.4099056753809051,-0.4019168803237059,-0.9179873213636595,-1.0298399302575285,-0.7303431961228084,-0.5337180140414517,-1.0612479008991227,-0.6311891879648058,-0.44438743578989304
neg_mean_absolute_percentage_error,17,-0.7736439524936536,-0.31166674996797256,-0.43112813277239337,-1.0005894285515304,-1.0641913901741253,-0.3409474437795027,-0.3559516496348138,-0.8541738141423493,-1.0607212744694128,-0.5558828581453032,-0.405493090875948,-1.0542213544681598,-0.5070735250565277,-0.35426301017788653
neg_mean_absolute_percentage_error,18,-2.5466668712556073,-0.6493457809933737,-0.8290775162682983,-1.2177884188534234,-2.28195386833707,-1.223289323235905,-0.8095283817798197,-1.3953055640732785,-2.392837605712118,-0.9091341610528527,-0.9399090567530474,-2.301957827678809,-1.4099745704833875,-0.7482660126831301
neg_mean_absolute_percentage_error,19,-0.8164521397768698,-0.4914978692367242,-0.531626741905377,-1.0000029128474872,-0.7227378792142752,-0.5370072799479344,-0.5982345138126853,-0.8496751257150248,-0.693823574430104,-0.5482733089285027,-0.6211230752542225,-0.7075246713929125,-0.568709003313888,-0.6220971556437765
neg_mean_absolute_percentage_error,20,-1.4500031325525602,-1.7179013566919297,-1.2283335898914014,-1.0097719540235797,-3.6900279108692837,-0.9407909113468677,-1.822087047086069,-2.4249513501587283,-3.998153544689175,-0.8441802164338796,-0.8845876296195325,-3.3355948319233106,-1.3503742546716426,-1.59558338476234
neg_mean_absolute_percentage_error,21,-1.6872071913743283,-0.7400779585716525,-0.5829778135509721,-1.0723418827807754,-1.799690269129659,-0.9113138518598862,-0.8641680731219586,-1.7119242934907848,-1.6099884092063985,-1.251949839711132,-1.081099308009064,-2.1193284616448267,-1.1400241993344706,-0.7191755671264836
neg_mean_absolute_percentage_error,22,-0.6711828731480532,-0.523491856371859,-0.4997417577576616,-0.9989487795519492,-0.8163052857385891,-0.5025634117084933,-0.4383575830855145,-0.723509544931422,-0.8129735396405835,-0.5076550635969311,-0.6472888422231445,-0.8162776135562259,-0.5854485687413267,-0.6342104936032541
neg_mean_absolute_percentage_error,23,-2.90528185751232,-0.4373109728528637,-1.4595768515436902,-1.1242045792083022,-3.7743605034209287,-0.9963322619668508,-0.7380657819081236,-2.4765306401014358,-3.4389764653106116,-0.848317593049965,-0.5876868727038873,-3.1676200454893073,-0.725309340229701,-0.5632588811952082
